packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
44.37,40599.54,915.01,3.04,2.14,2.99,2.13,2.28,3.5,4.59,1.58,1.58,2.19,1.34,0.47,2.46,0.1056
55.55,69371.36,1248.74,2.71,0.55,2.76,1.29,3.65,5.02,4.12,2.0,1.5,1.45,2.16,0.15,2.81,0.0871
66.46,45617.05,686.37,3.29,1.84,3.01,1.97,2.39,6.19,3.06,0.0,0.0,2.74,1.7,0.67,1.16,0.1107
51.51,40341.8,783.23,3.03,2.78,3.11,2.56,2.32,3.79,6.11,2.32,1.92,2.39,1.05,0.12,3.06,0.1595
50.6,35269.41,696.97,2.39,1.0,2.18,0.72,2.31,6.04,0.88,1.0,1.0,2.45,1.39,0.48,0.47,0.045
48.65,49119.42,1009.68,3.15,1.91,2.69,2.05,3.04,2.36,5.84,0.54,0.54,2.21,1.64,0.15,3.32,0.0884
51.97,34888.75,671.35,2.81,1.73,2.53,1.73,1.85,4.95,2.88,1.0,1.0,2.26,1.26,0.46,1.43,0.1274
57.33,60753.73,1059.64,3.27,1.29,3.26,1.74,3.37,4.69,5.14,2.95,2.95,2.28,2.09,0.17,2.92,0.1009
46.04,40205.55,873.3,3.06,2.5,2.85,2.09,2.02,3.78,5.01,2.32,1.37,2.54,1.08,0.32,2.54,0.1134
53.48,43966.15,822.09,3.31,2.08,3.29,2.51,2.72,5.49,3.67,2.25,2.25,2.58,1.54,0.52,1.47,0.0714
44.56,49527.3,1111.42,2.72,1.42,3.14,1.75,2.86,2.28,4.86,1.58,0.92,1.78,1.47,0.03,3.01,0.0783
45.67,37846.19,828.71,3.44,2.02,3.54,3.05,3.15,4.79,4.46,3.0,2.75,2.8,1.8,0.25,1.88,0.1215
53.91,46514.27,862.74,3.36,1.74,3.53,2.38,3.03,5.11,3.89,2.25,1.92,2.49,1.76,0.65,1.89,0.1161
49.01,46257.21,943.77,2.99,2.31,3.2,2.71,2.3,3.93,4.91,1.58,1.58,2.35,1.2,0.24,2.26,0.1216
54.57,60571.31,1110.06,3.05,0.62,3.26,0.56,3.64,5.32,3.55,2.75,2.75,2.13,2.44,0.59,2.74,0.0852
45.27,17277.34,381.63,2.49,2.44,2.74,2.07,0.14,5.05,3.65,2.0,1.5,2.83,0.75,0.71,1.46,0.2668
43.8,56256.98,1284.41,2.78,0.64,2.95,1.13,3.58,4.2,3.06,3.46,2.3,1.43,2.14,0.69,1.77,0.0978
45.85,33452.17,729.62,2.75,2.11,2.74,1.95,1.47,3.19,4.61,1.58,1.58,2.55,1.11,0.56,2.79,0.0531
60.23,59425.56,986.64,3.04,0.92,3.08,0.4,3.59,5.88,2.37,2.0,1.5,2.21,2.11,0.7,1.47,0.1255
56.66,41497.65,732.36,2.58,1.74,3.03,1.78,1.84,5.64,2.76,2.0,2.0,2.0,1.01,0.23,1.36,0.1103
47.27,34648.25,732.97,2.36,2.74,2.57,2.65,0.75,2.51,6.21,0.92,0.92,2.53,0.6,0.01,3.6,0.1585
48.59,50444.39,1038.21,3.19,1.68,2.7,2.33,3.3,4.91,5.46,1.0,1.0,2.02,2.01,0.06,2.46,0.0823
44.15,58212.09,1318.46,2.53,0.23,2.79,1.1,3.8,4.33,4.25,2.58,2.25,1.12,2.29,0.07,3.67,0.0926
51.06,32319.69,632.93,2.86,2.05,2.94,1.97,2.01,3.71,4.95,1.5,1.5,2.47,1.05,0.26,3.05,0.184
53.46,47324.22,885.18,3.22,1.67,3.11,1.88,2.98,4.95,3.49,2.81,2.81,2.55,1.67,0.5,1.82,0.1052
52.18,51080.74,978.96,2.95,2.14,3.17,2.75,3.02,3.92,5.28,2.32,1.92,2.06,1.33,0.1,2.33,0.0369
53.7,26321.13,490.17,2.91,1.85,2.94,1.61,2.21,5.68,1.86,2.56,2.28,2.71,1.2,0.58,0.73,0.1588
47.36,27112.21,572.51,2.38,1.13,3.0,1.62,1.92,6.15,0.49,2.0,2.0,2.66,1.25,0.63,0.21,0.1589
51.46,56322.52,1094.51,2.7,1.52,2.4,1.99,3.01,1.92,6.07,2.32,2.32,1.89,1.56,0.0,4.0,0.0438
47.42,27031.85,570.01,2.42,2.75,3.09,2.25,0.86,2.83,5.63,2.58,1.46,2.96,0.52,0.29,3.33,0.1902
37.48,27534.16,734.68,2.81,2.21,2.51,2.61,1.77,4.0,4.35,0.0,0.0,2.24,0.95,0.39,2.26,0.4627
48.74,48832.47,1001.93,2.78,1.77,2.82,1.79,2.7,2.47,5.39,2.81,2.81,2.05,1.29,0.18,3.38,0.127
45.06,37694.73,836.54,2.97,1.33,2.68,1.72,2.65,5.76,2.32,2.0,2.0,2.6,1.67,0.5,1.12,0.063
48.74,42284.91,867.54,3.05,2.31,2.97,2.57,2.39,2.82,5.64,3.17,2.95,2.65,1.24,0.17,3.26,0.1281
51.02,38140.51,747.58,2.38,1.04,2.33,0.77,2.45,6.29,0.76,2.32,2.32,2.43,1.34,0.49,0.48,0.1123
51.02,45214.62,886.26,3.12,2.33,2.7,2.57,2.83,3.89,5.57,3.0,2.41,2.51,1.36,0.05,2.57,0.0826
50.2,21945.2,437.19,2.07,0.9,2.3,0.89,1.36,6.53,0.48,1.58,1.58,2.73,1.17,0.58,0.26,0.1547
49.85,38357.74,769.47,3.0,2.37,2.7,2.31,2.3,4.29,4.87,3.17,2.95,2.77,1.07,0.17,2.44,0.0951
48.08,31000.71,644.83,1.62,2.11,2.02,2.24,0.09,3.53,4.85,0.0,0.0,2.49,0.25,0.22,2.8,0.0588
44.63,32946.09,738.28,2.59,2.73,2.73,2.76,2.71,1.35,5.7,3.05,2.14,3.1,0.61,0.12,2.5,0.1041
49.91,44626.04,894.14,3.05,2.17,3.18,2.68,2.9,3.73,5.22,3.0,2.5,2.36,1.26,0.1,2.65,0.1191
55.6,37114.36,667.54,2.83,1.86,2.8,1.66,1.46,4.67,3.35,0.0,0.0,2.38,1.21,0.79,1.73,0.1634
52.59,36010.92,684.73,2.59,1.04,3.05,0.75,2.45,6.49,0.97,2.32,2.32,2.76,1.55,0.7,0.6,0.0896
51.62,50847.58,985.04,3.1,2.02,2.66,2.35,2.89,4.22,5.09,2.25,1.92,2.04,1.46,0.28,2.39,0.0643
51.03,28008.97,548.92,2.42,1.88,2.87,2.03,1.52,4.37,3.43,2.32,2.32,2.68,0.71,0.18,1.98,0.1803
53.07,64289.96,1211.43,2.46,0.31,2.47,0.98,3.67,5.02,4.42,3.0,2.75,1.76,2.16,0.26,3.9,0.0349
51.98,29066.53,559.22,2.69,2.4,2.82,2.08,1.5,5.23,3.72,2.32,2.32,2.83,0.81,0.33,1.59,0.1457
47.89,32916.96,687.41,2.3,2.34,2.97,2.8,1.2,3.74,4.5,2.0,2.0,2.27,0.45,0.05,2.45,0.1797
43.18,40674.94,941.97,3.08,2.27,2.93,2.56,3.32,4.48,5.01,3.97,2.02,2.71,1.21,0.2,1.79,0.0464
52.13,53649.45,1029.21,2.97,1.77,3.16,2.71,3.58,4.97,5.04,1.78,1.67,1.76,1.48,0.15,1.78,0.1141
59.17,64005.89,1081.74,2.64,1.27,3.02,1.54,2.83,3.96,4.07,2.32,2.32,1.98,1.37,0.37,2.65,0.0933
51.89,50671.47,976.49,2.95,1.63,3.22,2.12,3.0,3.66,5.11,3.0,2.41,2.4,1.46,0.24,3.23,0.0489
52.09,49871.78,957.5,3.08,1.92,3.3,2.82,3.04,4.97,4.68,2.0,2.0,2.44,1.53,0.51,1.98,0.038
49.19,36895.5,750.0,2.68,1.92,2.64,1.95,2.01,5.41,2.68,2.81,2.52,2.55,0.99,0.29,1.07,0.1723
49.28,48989.23,994.12,2.62,2.08,2.13,2.16,2.5,2.56,5.75,2.0,2.0,2.08,1.01,0.15,3.43,0.1291
53.34,43101.26,808.09,2.83,1.49,2.72,2.34,3.23,5.88,2.37,1.77,1.77,2.53,1.43,0.3,1.01,0.1401
53.61,62022.99,1157.0,2.53,1.16,2.87,1.89,3.28,4.48,3.81,3.0,3.0,1.57,1.45,0.36,2.03,0.0377
46.99,27050.58,575.73,2.64,2.27,2.6,1.93,0.21,4.17,4.12,2.58,1.25,2.85,0.86,0.67,2.16,0.2291
51.91,63242.72,1218.42,2.47,0.28,2.76,0.86,4.02,4.98,4.18,2.81,2.81,1.57,2.19,0.32,3.83,0.0284
47.14,43593.78,924.7,2.76,2.15,3.0,2.13,2.33,4.1,5.14,0.92,0.92,2.12,1.04,0.16,2.49,0.1597
55.02,53561.2,973.41,2.74,1.01,3.02,1.25,3.2,5.5,1.85,3.32,2.85,2.39,1.73,0.47,1.24,0.0279
49.51,46261.17,934.29,2.56,2.5,2.48,2.47,2.51,1.78,6.34,0.7,0.7,2.44,0.8,0.0,3.22,0.0841
51.95,34861.54,671.1,2.75,2.46,2.82,2.38,2.1,3.99,4.54,3.17,2.64,2.8,0.79,0.34,2.23,0.1503
49.4,35844.11,725.62,2.9,2.07,2.77,2.52,1.8,4.33,3.5,0.0,0.0,2.22,1.17,0.71,1.52,0.1933
46.34,60704.21,1309.92,2.31,0.1,2.41,0.14,4.04,4.0,4.0,2.58,2.58,1.24,2.21,0.0,4.01,0.0349
51.97,30556.83,588.0,2.5,1.76,2.56,1.7,1.77,6.2,1.99,1.58,1.58,2.72,0.96,0.56,0.58,0.2037
50.92,25800.46,506.73,2.77,1.59,2.8,2.67,1.18,5.82,1.54,2.0,2.0,2.64,1.27,1.08,0.5,0.1399
53.26,49082.64,921.61,3.18,1.51,3.28,1.91,3.14,4.86,2.5,3.17,2.95,2.28,1.76,0.68,1.17,0.1154
52.73,62510.01,1185.57,2.4,0.6,2.52,1.2,3.82,4.85,3.26,3.0,3.0,1.8,1.8,0.36,2.51,0.0614
46.89,22032.45,469.86,2.36,2.3,2.54,1.98,0.43,4.31,4.4,1.0,1.0,2.68,0.55,0.38,2.35,0.1708
