packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
77.87,5991.2,76.94,1.68,0.13,2.42,2.06,0.06,7.67,1.08,6.73,0.15,1.64,1.56,0.0,1.56,0.0567
78.72,5943.77,75.5,1.7,0.17,1.79,1.25,0.0,7.64,1.27,6.7,0.0,1.58,1.55,0.0,1.59,0.0385
59.42,4476.73,75.34,1.62,0.04,1.66,0.1,0.04,7.26,1.0,6.32,0.1,1.62,1.58,0.0,1.58,0.0426
66.78,5099.89,76.36,1.58,0.0,1.55,0.0,0.0,7.42,1.0,6.49,0.0,1.58,1.58,0.0,1.58,0.0626
81.73,6596.94,80.71,1.61,0.03,1.68,0.12,0.0,7.75,1.0,6.77,0.0,1.61,1.58,0.0,1.58,0.0284
70.74,5629.07,79.57,1.79,0.31,2.03,0.89,0.0,7.38,1.47,6.57,0.0,1.61,1.52,0.0,1.62,0.0261
79.97,6037.01,75.49,1.67,0.11,2.02,0.3,0.03,7.69,1.12,6.74,0.08,1.61,1.56,0.0,1.58,0.0574
66.43,5015.45,75.5,1.58,0.0,1.58,0.0,0.0,7.45,1.0,6.48,0.0,1.58,1.58,0.0,1.58,0.0441
63.99,5242.86,81.94,1.62,0.04,1.78,0.41,0.0,7.4,1.0,6.39,0.0,1.62,1.58,0.0,1.58,0.0327
89.4,7050.67,78.87,1.71,0.15,1.92,0.41,0.06,7.84,1.11,6.91,0.12,1.65,1.56,0.01,1.58,0.0482
78.13,6332.73,81.06,1.64,0.06,1.87,0.43,0.0,7.7,1.04,6.66,0.0,1.61,1.57,0.0,1.58,0.0697
81.07,6516.85,80.39,1.74,0.21,2.1,1.57,0.0,7.64,1.3,6.75,0.0,1.61,1.54,0.0,1.61,0.0235
76.61,6142.04,80.17,1.64,0.06,1.96,0.77,0.0,7.64,1.04,6.7,0.0,1.61,1.57,0.0,1.58,0.0685
78.79,5948.44,75.5,1.63,0.06,1.89,0.72,0.0,7.67,1.08,6.74,0.0,1.58,1.57,0.0,1.58,0.0228
94.41,8250.94,87.39,1.67,0.09,1.93,0.38,0.0,7.95,1.03,6.95,0.0,1.64,1.58,0.0,1.58,0.054
63.01,4836.87,76.77,1.72,0.17,1.78,0.29,0.07,7.33,1.14,6.43,0.18,1.65,1.55,0.0,1.57,0.0048
83.25,6598.95,79.26,1.76,0.24,1.91,0.54,0.09,7.66,1.23,6.91,0.14,1.66,1.54,0.0,1.57,0.0401
65.72,5372.99,81.75,1.65,0.07,1.85,0.37,0.0,7.43,1.05,6.44,0.0,1.62,1.57,0.0,1.58,0.0604
73.26,5588.7,76.29,1.58,0.0,1.57,0.0,0.0,7.59,1.0,6.58,0.0,1.58,1.58,0.0,1.58,0.1113
88.26,6723.17,76.17,1.66,0.09,1.8,0.34,0.0,7.83,1.14,6.89,0.0,1.58,1.57,0.0,1.59,0.0582
69.51,5310.17,76.4,1.58,0.0,1.58,0.0,0.0,7.32,1.0,6.38,0.0,1.58,1.58,0.0,1.58,0.0822
76.09,5729.05,75.3,1.61,0.03,1.62,0.05,0.03,7.64,1.0,6.67,0.08,1.61,1.58,0.0,1.58,0.0213
62.37,5073.56,81.34,1.65,0.08,1.78,0.25,0.04,7.35,1.0,6.38,0.09,1.65,1.57,0.0,1.58,0.0789
71.39,4871.82,68.24,1.82,0.34,1.88,1.0,0.0,7.17,1.75,6.55,0.0,1.57,1.48,0.0,1.74,0.0508
72.77,5680.25,78.06,1.74,0.2,1.66,1.16,0.0,7.49,1.29,6.57,0.0,1.61,1.54,0.0,1.61,0.0146
80.05,6434.47,80.38,1.61,0.03,1.68,0.18,0.0,7.72,1.0,6.71,0.0,1.61,1.58,0.0,1.58,0.0292
73.01,5931.66,81.24,1.61,0.03,1.74,0.22,0.0,7.6,1.0,6.57,0.0,1.61,1.58,0.0,1.58,0.0333
65.54,4971.87,75.86,1.58,0.0,1.58,0.0,0.0,7.43,1.0,6.43,0.0,1.58,1.58,0.0,1.58,0.0895
79.3,6005.55,75.73,1.58,0.0,1.58,0.0,0.0,7.71,1.0,6.71,0.0,1.58,1.58,0.0,1.58,0.0467
84.9,6834.25,80.5,1.61,0.03,1.77,0.28,0.0,7.8,1.0,6.79,0.0,1.61,1.58,0.0,1.58,0.052
80.07,6460.68,80.69,1.64,0.06,2.0,0.57,0.03,7.72,1.0,6.73,0.08,1.64,1.57,0.0,1.58,0.0454
78.95,5999.94,76.0,1.58,0.0,1.5,0.0,0.0,7.7,1.0,6.7,0.0,1.58,1.58,0.0,1.58,0.0515
56.13,4604.68,82.04,1.62,0.04,1.65,0.09,0.0,7.2,1.0,6.21,0.0,1.62,1.58,0.0,1.58,0.1175
60.8,5324.79,87.58,1.71,0.15,2.39,0.88,0.04,7.31,1.05,6.32,0.1,1.67,1.57,0.0,1.57,0.0423
71.36,5774.39,80.92,1.61,0.03,1.67,0.15,0.0,7.58,1.0,6.49,0.0,1.61,1.58,0.0,1.58,0.0114
77.39,5946.62,76.84,1.61,0.03,1.65,0.24,0.03,7.68,1.0,6.67,0.08,1.61,1.58,0.0,1.58,0.0624
75.62,6428.22,85.0,1.64,0.06,1.91,0.68,0.0,7.61,1.0,6.67,0.0,1.63,1.58,0.0,1.58,0.0355
61.12,5037.51,82.42,1.65,0.07,1.77,0.13,0.0,7.33,1.05,6.34,0.0,1.65,1.58,0.0,1.58,0.0457
69.76,5640.8,80.86,1.61,0.03,1.73,0.19,0.0,7.52,1.0,6.52,0.0,1.61,1.58,0.0,1.58,0.0666
85.85,6506.47,75.79,1.58,0.0,1.58,0.0,0.0,7.83,1.0,6.82,0.0,1.58,1.58,0.0,1.58,0.06
74.45,5667.47,76.12,1.58,0.0,1.58,0.0,0.0,7.62,1.0,6.63,0.0,1.58,1.58,0.0,1.58,0.0574
80.65,6517.2,80.81,1.81,0.29,2.17,1.33,0.0,7.53,1.46,6.71,0.0,1.62,1.52,0.0,1.66,0.0509
72.72,5496.57,75.58,1.67,0.1,1.99,1.27,0.07,7.56,1.04,6.64,0.16,1.64,1.57,0.0,1.57,0.0856
62.6,5232.55,83.59,1.71,0.15,2.04,0.59,0.11,7.32,1.0,6.43,0.27,1.71,1.56,0.0,1.57,0.0351
75.54,5997.99,79.4,1.69,0.13,1.94,0.5,0.0,7.59,1.16,6.64,0.0,1.61,1.56,0.0,1.59,0.0302
67.84,5173.75,76.27,1.7,0.15,1.75,0.64,0.0,7.42,1.26,6.44,0.0,1.58,1.55,0.0,1.61,0.0715
74.98,5694.59,75.95,1.66,0.09,1.93,0.52,0.06,7.6,1.04,6.67,0.14,1.66,1.57,0.0,1.57,0.0542
