packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
63.96,21003.85,328.37,3.43,1.0,4.55,1.0,1.61,0,0,6.34,0.0,3.93,2.43,3.43,0.0,0.0947
55.77,23986.28,430.08,1.77,0.73,3.17,0.96,0.98,0,0,7.02,0.0,3.62,1.04,1.77,0.0,0.0421
62.88,24241.6,385.51,2.92,0.94,5.25,0.82,1.25,0,0,7.09,0.0,3.71,1.98,2.92,0.0,0.062
68.46,29276.6,427.64,2.19,0.85,4.09,0.86,1.15,0,0,7.25,0.0,3.92,1.34,2.19,0.0,0.0589
62.32,27173.15,436.04,1.64,0.73,4.89,0.83,0.89,0,0,7.12,0.0,3.51,0.91,1.61,0.0,0.1385
78.72,33144.23,421.02,2.32,0.85,4.83,0.96,1.21,0,0,7.62,0.0,3.83,1.46,2.32,0.0,0.0745
68.86,28541.14,414.51,2.21,0.82,4.89,0.99,1.13,0,0,7.38,0.0,3.6,1.39,2.21,0.0,0.0463
71.87,28659.65,398.75,2.61,0.89,5.5,0.88,1.26,0,0,7.45,0.0,3.77,1.72,2.61,0.0,0.0876
66.61,26883.7,403.63,2.04,0.85,4.28,0.81,1.17,0,0,7.01,0.0,3.78,1.19,2.04,0.0,0.058
46.29,20089.17,434.01,1.65,0.79,2.59,0.95,1.03,0,0,6.67,0.0,3.81,0.86,1.65,0.0,0.0648
63.19,19692.81,311.64,3.74,1.02,4.67,0.87,1.75,0,0,6.45,0.0,3.95,2.72,3.71,0.0,0.034
70.06,26749.89,381.82,2.84,0.95,3.96,0.95,1.44,0,0,7.2,0.0,3.98,1.89,2.84,0.0,0.0825
79.05,30560.01,386.57,3.16,0.97,5.52,1.06,1.37,0,0,7.6,0.0,3.92,2.19,3.14,0.0,0.0576
74.83,25417.33,339.66,4.35,1.0,5.16,0.98,1.65,0,0,7.48,0.0,4.21,3.35,4.35,0.0,0.0472
66.79,30235.42,452.69,1.19,0.56,2.17,0.99,0.78,0,0,7.36,0.0,3.41,0.63,1.19,0.0,0.0715
81.33,30818.38,378.94,3.39,0.97,5.57,0.84,1.47,0,0,7.64,0.0,4.03,2.42,3.39,0.0,0.0641
74.83,29559.99,395.02,2.98,0.96,5.83,0.71,1.46,0,0,7.51,0.0,4.05,2.02,2.95,0.0,0.0409
52.95,24279.75,458.57,1.16,0.58,3.81,0.58,0.67,0,0,7.02,0.0,3.43,0.58,1.16,0.0,0.0757
67.84,26583.67,391.84,2.95,0.92,6.03,0.2,1.35,0,0,7.46,0.0,3.82,2.02,2.95,0.0,0.0727
73.8,28208.38,382.25,2.88,0.95,5.36,0.89,1.37,0,0,7.33,0.0,3.93,1.93,2.88,0.0,0.0896
78.67,29012.67,368.78,3.28,0.97,6.11,0.3,1.43,0,0,7.45,0.0,3.94,2.31,3.28,0.0,0.0614
76.78,32329.24,421.09,2.31,0.86,4.66,1.07,1.11,0,0,7.64,0.0,3.81,1.45,2.28,0.0,0.0748
58.92,21121.52,358.49,3.16,0.98,3.61,0.7,1.52,0,0,6.8,0.0,3.89,2.17,3.16,0.0,0.0319
46.88,17514.82,373.65,3.42,0.98,5.07,0.99,1.44,0,0,6.94,0.0,4.06,2.44,3.42,0.0,0.0313
63.01,28009.96,444.51,1.39,0.62,2.17,0.86,0.8,0,0,7.31,0.0,3.43,0.78,1.39,0.0,0.1042
74.67,28732.67,384.79,3.12,0.94,5.54,0.81,1.43,0,0,7.5,0.0,3.94,2.18,3.12,0.0,0.0712
65.25,24771.0,379.62,3.54,0.99,4.94,0.61,1.59,0,0,7.32,0.0,4.17,2.55,3.54,0.0,0.0668
68.55,31153.03,454.46,1.1,0.53,2.09,1.0,0.67,0,0,7.39,0.0,3.43,0.57,1.1,0.0,0.0354
81.73,26310.91,321.91,4.91,0.97,5.13,0.97,1.75,0,0,7.66,0.0,4.3,3.93,4.91,0.0,0.049
58.57,21576.2,368.41,3.48,0.98,5.92,0.2,1.49,0,0,7.25,0.0,3.74,2.5,3.48,0.0,0.0461
74.8,27906.78,373.08,3.15,0.96,4.86,0.82,1.53,0,0,7.36,0.0,3.87,2.19,3.15,0.0,0.0523
