packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
72.58,75435.15,1039.38,2.92,1.27,2.9,2.54,3.91,6.25,5.96,2.81,2.81,1.95,2.13,0.07,3.54,0.0499
65.64,67367.6,1026.26,2.94,1.27,2.98,2.62,3.76,6.3,5.54,2.52,2.52,1.88,2.06,0.14,3.1,0.0988
68.44,69473.94,1015.18,3.01,1.39,2.94,3.07,3.36,6.39,4.8,2.32,2.32,2.14,2.0,0.18,2.34,0.0498
74.85,82860.95,1107.0,2.72,1.18,2.67,2.15,3.86,6.32,5.91,2.25,2.25,1.77,1.96,0.12,3.32,0.0382
60.46,55046.8,910.53,3.12,1.52,2.34,1.67,3.71,6.39,5.35,3.0,3.0,2.38,2.08,0.2,2.95,0.0213
71.94,63945.84,888.87,3.02,1.64,2.85,2.57,3.74,6.74,5.75,2.58,2.58,2.36,1.96,0.2,3.14,0.0648
53.67,51551.96,960.55,2.98,1.46,2.94,2.37,3.52,6.21,5.41,0.0,0.0,2.11,1.98,0.18,2.79,0.0724
59.51,50633.16,850.79,3.02,1.55,3.22,3.21,3.45,6.55,5.61,3.0,3.0,2.45,1.96,0.09,3.3,0.0722
74.0,68060.79,919.79,2.96,1.48,3.29,2.02,3.7,6.58,5.97,2.0,2.0,2.15,2.01,0.15,3.27,0.0723
75.65,71456.33,944.51,2.94,1.41,3.13,3.15,3.44,6.77,5.65,1.0,1.0,2.14,1.95,0.17,3.14,0.0132
68.47,76897.33,1123.13,2.78,1.1,3.32,3.18,3.47,6.04,4.38,2.0,2.0,1.75,1.94,0.31,2.04,0.0431
61.87,56742.22,917.18,2.94,1.49,2.74,2.35,3.8,6.36,5.7,2.58,2.58,2.31,1.97,0.13,3.3,0.0828
64.54,62920.46,974.94,2.97,1.46,2.61,3.14,3.8,6.44,5.45,2.0,2.0,2.16,1.99,0.16,2.87,0.0276
77.54,79082.59,1019.9,3.02,1.24,3.14,1.72,3.52,6.57,5.33,2.81,2.81,2.12,2.12,0.24,3.07,0.046
65.71,65691.34,999.78,2.74,1.22,3.04,2.36,3.84,6.27,6.17,3.42,3.42,2.12,2.0,0.04,3.97,0.026
72.46,66374.63,915.97,3.03,1.58,3.11,3.12,3.62,6.66,6.01,2.32,2.32,2.27,2.04,0.12,3.34,0.0759
60.36,57104.33,946.0,3.01,1.37,3.28,2.71,3.68,6.39,5.85,2.32,2.32,2.19,2.11,0.12,3.42,0.0522
60.54,59768.82,987.28,2.95,1.34,3.37,3.11,3.53,6.28,5.33,2.58,2.58,2.19,2.01,0.14,2.99,0.1179
94.52,93314.05,987.27,2.91,1.35,2.75,1.59,3.69,6.91,5.71,2.85,2.85,2.06,1.96,0.22,3.31,0.0321
89.05,81523.11,915.47,3.0,1.51,3.18,2.69,3.73,6.85,6.11,3.28,3.28,2.3,2.03,0.13,3.61,0.0408
95.92,92602.17,965.37,3.0,1.43,3.2,2.54,3.79,6.95,6.05,3.55,3.55,2.37,2.05,0.13,3.63,0.0354
107.68,85607.14,795.03,2.63,1.43,2.58,0.66,2.1,5.43,2.44,0.0,0.0,1.95,1.38,0.0,0.87,0.0708
60.6,61648.96,1017.34,3.19,1.61,3.18,1.62,3.51,5.43,5.35,2.52,2.52,2.13,2.03,0.15,2.61,0.0115
34.93,36254.07,1037.97,2.89,1.32,3.42,1.65,3.14,5.55,4.31,1.0,1.0,1.91,1.87,0.11,1.89,0.0164
56.27,56793.19,1009.3,3.19,1.52,3.43,2.03,3.49,5.6,4.8,2.52,2.52,2.12,2.0,0.21,2.36,0.1065
36.85,38796.53,1052.9,2.9,1.28,3.13,1.65,3.48,5.39,4.42,1.58,1.58,1.99,1.88,0.27,2.19,0.0571
47.0,43361.33,922.49,3.01,1.58,3.26,2.92,3.1,5.97,4.69,1.0,1.0,2.0,1.82,0.2,2.19,0.0336
64.72,71521.04,1105.16,2.98,1.19,3.22,1.83,3.9,5.64,5.55,2.0,2.0,1.74,2.12,0.12,2.96,0.0771
65.17,75771.35,1162.64,3.03,1.13,3.54,3.25,3.53,5.75,4.53,2.75,2.75,1.83,2.16,0.39,2.38,0.0696
54.72,60737.74,1109.92,3.21,1.42,3.02,1.83,3.24,5.35,5.13,2.24,2.24,2.04,2.16,0.26,2.67,0.0461
53.16,60115.75,1130.82,3.38,1.33,3.62,2.52,3.43,4.74,3.84,2.58,2.58,2.19,2.27,0.45,1.9,0.0319
63.22,71335.55,1128.44,3.27,1.68,3.44,2.39,3.26,3.78,3.52,2.81,2.81,2.47,1.87,0.33,1.59,0.056
60.3,67237.12,1115.07,2.83,1.18,2.75,1.79,3.14,5.9,4.78,1.58,1.58,1.73,1.98,0.24,2.36,0.0303
63.35,67450.23,1064.78,2.94,1.42,3.41,3.3,3.66,6.11,5.69,1.0,1.0,1.96,2.02,0.23,3.0,0.024
61.87,65461.71,1058.04,3.09,1.31,3.1,3.19,3.76,6.06,4.99,2.25,2.25,2.0,2.15,0.34,2.77,0.0179
64.4,69919.47,1085.63,2.94,1.17,3.26,2.79,3.64,6.0,5.66,2.95,2.95,1.89,2.17,0.18,3.23,0.0138
57.81,66488.42,1150.06,2.92,1.08,3.42,2.79,3.67,5.67,4.84,2.0,2.0,1.62,2.11,0.32,2.41,0.084
68.24,75962.41,1113.14,3.02,1.21,3.19,2.49,3.96,6.03,5.3,2.0,2.0,1.89,2.15,0.39,2.83,0.0639
57.46,63210.19,1100.0,2.97,1.2,3.03,2.7,3.91,5.87,5.63,2.52,2.52,1.6,2.19,0.11,3.31,0.1171
61.52,71935.13,1169.22,2.83,1.02,3.3,2.78,3.61,5.68,4.52,1.58,1.58,1.84,2.05,0.4,2.42,0.0726
66.42,72527.71,1092.03,2.7,1.15,3.05,3.03,3.38,6.0,5.65,2.32,2.32,1.73,1.95,0.11,3.11,0.0297
60.67,63077.44,1039.69,3.13,1.34,3.42,2.32,3.76,6.29,5.43,1.58,1.58,2.19,2.16,0.33,2.91,0.0571
52.37,52313.2,998.89,3.16,1.39,3.3,2.69,3.86,5.96,5.69,2.75,2.75,1.81,2.25,0.22,3.34,0.0581
62.87,66102.27,1051.47,3.0,1.35,2.97,2.36,3.64,5.96,5.88,2.75,2.75,2.1,2.07,0.14,3.36,0.0816
55.51,55979.72,1008.4,2.87,1.45,2.8,2.67,3.5,5.76,5.51,1.58,1.58,1.97,1.86,0.06,2.68,0.0323
70.36,71896.91,1021.9,3.12,1.45,3.51,2.29,3.83,6.26,5.68,2.81,2.81,2.18,2.13,0.19,3.02,0.0954
69.3,69391.07,1001.37,3.15,1.59,3.32,2.77,3.47,5.79,4.29,2.0,2.0,2.34,1.85,0.43,1.89,0.056
59.45,62606.38,1053.09,3.05,1.29,3.31,2.57,3.43,5.97,5.29,2.32,2.32,2.03,2.13,0.22,2.75,0.0483
69.07,72644.71,1051.79,3.1,1.3,3.21,2.31,3.47,6.22,5.15,2.81,2.81,2.1,2.11,0.28,2.84,0.0538
62.88,62676.48,996.78,3.13,1.56,3.3,2.94,3.62,5.88,5.64,3.28,3.28,2.09,2.01,0.05,3.06,0.0139
51.64,51815.24,1003.32,3.01,1.53,3.13,2.52,3.62,5.46,5.53,2.32,2.32,2.04,1.88,0.07,2.84,0.0575
56.23,57416.5,1021.06,2.87,1.33,3.09,2.63,3.67,5.79,5.0,2.0,2.0,1.89,1.94,0.0,2.49,0.0364
57.45,55477.71,965.69,3.21,1.51,3.45,3.46,3.63,6.26,5.41,2.75,2.75,2.31,2.14,0.22,3.0,0.0688
69.14,66882.81,967.3,3.0,1.45,2.77,2.11,3.62,6.53,5.69,2.32,2.32,2.21,2.01,0.18,3.12,0.0485
47.09,49040.55,1041.34,2.99,1.19,2.98,1.93,3.53,5.76,4.95,1.58,1.58,1.89,2.14,0.13,2.73,0.0374
59.56,61444.32,1031.7,3.04,1.38,3.21,2.13,3.93,6.17,5.52,2.81,2.81,1.92,2.13,0.17,3.03,0.088
68.07,69180.39,1016.31,3.1,1.39,3.37,2.63,3.74,6.37,5.3,2.95,2.95,2.26,2.13,0.22,3.06,0.0228
69.95,70884.37,1013.39,2.95,1.39,3.41,3.31,3.46,6.49,5.6,2.81,2.81,2.05,2.01,0.12,3.14,0.0548
75.68,77846.28,1028.59,2.98,1.28,3.32,2.46,3.95,6.39,6.22,2.32,2.32,2.02,2.21,0.06,3.7,0.0551
56.0,57123.01,1019.97,2.81,1.27,3.1,1.29,3.83,6.07,5.86,1.0,1.0,1.61,2.01,0.07,3.28,0.0486
65.95,68720.92,1042.03,3.05,1.34,3.38,2.58,3.6,6.21,5.09,2.81,2.81,2.17,2.12,0.24,2.65,0.0413
66.6,66124.15,992.92,2.99,1.36,3.46,3.21,3.93,6.52,6.11,2.13,2.13,1.74,2.13,0.11,3.57,0.0389
62.88,69306.56,1102.12,2.9,1.18,3.18,3.24,3.83,5.93,5.51,1.5,1.5,1.53,2.11,0.13,2.97,0.01
72.93,78491.9,1076.31,2.93,1.12,2.57,2.3,3.89,6.02,5.47,3.0,3.0,2.06,2.16,0.14,3.39,0.0658
64.54,64759.9,1003.33,2.97,1.44,2.77,2.27,3.51,6.32,5.32,2.75,2.75,2.14,2.0,0.21,2.95,0.0335
62.63,66346.55,1059.28,2.86,1.17,3.26,2.87,3.75,6.18,6.12,0.92,0.92,1.63,2.16,0.03,3.55,0.0421
68.37,70692.79,1034.01,2.98,1.24,2.64,2.76,3.88,6.36,6.26,2.0,2.0,1.96,2.23,0.04,3.79,0.022
65.03,65110.63,1001.31,2.95,1.42,2.91,2.87,3.62,6.39,5.82,2.52,2.52,1.88,2.03,0.13,3.25,0.0138
72.77,70713.66,971.8,3.07,1.47,3.26,2.73,3.58,6.71,5.13,2.52,2.52,2.23,2.0,0.26,2.69,0.0484
